"id","seed","demoQuestion1","demoQuestion2","demoQuestion3","demoQuestion3[other]","demoQuestion4","demoQuestion5","demoQuestion6","demoQuestion7","demoQuestion8","demoQuestion9","demoQuestion9[other]","demoQuestion10","demoQuestion10[other]","demoQuestion11[1]","demoQuestion11[2]","demoQuestion11[3]","demoQuestion11[4]","Z1[01]","Z1[02]","Z1[03]","Z1[04]","Z1[05]","Z1[06]","Z1[07]","Z1[08]","Z1[09]","Z1[10]","Z2[1]","Z3[1]","Z4[1]","Z5[1]","Z6[1]","Z7[1]","Z8[1]","Z9[1]","Z10[1]","Z11[1]","Z12","Z13","Z14","Z15","M1[01]","M1[02]","M1[03]","M1[04]","M1[05]","M1[06]","M1[07]","M1[08]","M1[09]","M1[10]","M2[1]","M3[1]","M4[1]","M5[1]","M6[1]","M7[1]","M8[1]","M9[1]","M10[1]","M11[1]","M12","M13","M14","M15","G1[01]","G1[02]","G1[03]","G1[04]","G1[05]","G1[06]","G1[07]","G1[08]","G1[09]","G1[10]","G2[1]","G3[1]","G4[1]","G5[1]","G6[1]","G7[1]","G8[1]","G9[1]","G10[1]","G11[1]","G12","G13","G14","G15","F1","F2","F3"
"45","1740994077","Male","25-34","Teacher","","Bangladesh","Yes","Ahsanullah University of Science and Technology","Many times a day","2-3 hours","Google Meet","","Education","","Yes","Yes","Yes","No","3","3","1","-1","2","1","0","2","-3","-3","5","4","6","1","5","2","6","2","7","6","Recording, breakout room, and Annotation while screen sharing","limited number of participants and time","Increase time duration","Yes","2","2","2","2","1","1","0","2","-1","0","1","5","5","2","3","4","3","2","6","5","I have not used it. So no comments.","No comments.","No comments.","May be.","3","3","3","3","2","2","0","2","-3","-2","7","1","7","1","7","2","7","1","7","1","Recording and screen sharing","Participants can not be able to join automatically.","Participants can not be able to join automatically. So I will make it automatic.","Yes","Google Meet","Zoom","Zoom"
"46","1559417251","Female","25-34","Student","","Bangladesh ","Yes","bangladesh dental college ","Once or twice a year","2-3 hours","Zoom","","Education","","Yes","No","No","No","3","3","2","3","1","1","-3","3","-2","0","4","2","7","1","6","3","7","4","5","1","easy to learn","too much functions in one app","would reduce the number of options and made it simple ","yes","3","2","2","3","3","2","1","2","-3","0","5","1","7","1","7","2","7","4","6","1","easy and simple","nothing ","no need to change…its perfect ","yes","3","2","2","3","1","2","-3","3","-3","0","5","1","7","1","7","1","6","4","5","1","it looks easy","nothing ","nothing ","yeah","Google Meet","Zoom","Google Meet"
"47","620549071","Female","15-24","Student","","Bangladesh","No","","Many times a day","2-3 hours","Google Meet","","Education","","No","Yes","No","No","0","1","0","0","0","1","1","0","-1","-1","5","4","2","2","3","3","3","5","4","6","I liked the audio mood","Video mood","Video mood","Yes","-3","-2","-1","-2","-2","-2","-3","-2","-2","0","2","2","3","4","5","5","3","5","5","5","I like the team management","Nothing","Nothing","Don't know","0","0","0","0","-1","-2","0","-1","-2","-2","3","3","5","4","5","5","5","5","4","3","Everything","Nothing","Nothing","Hopefully yes","Zoom","Zoom","Zoom"
"49","1150953143","Prefer not to say","25-34","Student","","United Kingdom","Yes","Leeds Beckett University ","Many times a day","6-7 hours","Microsoft Teams","","Other","Entertainment ","Yes","Yes","Yes","No","2","-2","1","3","0","-3","-3","0","-2","0","4","2","6","7","7","7","7","7","1","1","It is free","Data privacy issues","Stronger data privacy ","Yes","-2","2","1","-1","0","2","0","0","-2","0","7","3","3","2","4","3","2","3","7","1","Looks","Unnecessary features","Reduce features for only simple things.","Yes","-2","-1","2","0","0","-3","-3","0","-2","0","7","2","7","2","6","3","5","2","7","1","Synced to Gmail account","Nothing","Bandwidth issues maybe ","Yes","No preference","No preference","No preference"
"50","1520785020","Female","25-34","Student","","USA","Yes","university of texas at arlington ","Many times a week","6-7 hours","Microsoft Teams","","Education","","No","Yes","No","No","3","-2","-2","-2","-2","-2","-2","-2","3","3","6","2","5","1","7","1","7","1","7","5","well organized","nothing ","nothing ","yes","3","-3","-3","-3","-3","-3","-3","-3","-3","-3","7","1","7","1","7","1","7","1","7","7","everything ","nothing","nothing ","yes","3","3","3","3","3","3","3","3","-3","-3","7","1","7","1","7","1","7","1","7","1","everything ","nothing","nothing","yes","Microsoft Teams","Microsoft Teams","Microsoft Teams"
"51","855889534","Male","25-34","IT Professional","","Bangladesh","Yes","Cefalo","Many times a day","2-3 hours","Google Meet","","Meetings","","No","Yes","Yes","No","-2","-1","0","0","0","0","0","0","0","0","1","6","5","1","5","2","2","5","6","2","Meeting record","Had to manually import meetings from my email account. Support for linux distro is bad","Make the on-boading easier","Yes","0","0","0","0","0","0","0","0","0","0","2","3","3","1","3","3","3","3","4","1","Didn't use it much","Didn't use it much","No comment","Not sure","2","2","2","2","2","2","2","2","-2","0","7","1","7","1","7","1","1","7","7","1","Browser support is pretty good","No meeting record","Add record feature","Yes","Google Meet","No preference","No preference"
"57","696894943","Male","25-34","Teacher","","Bangladesh","Yes","Ahsanullah University of Science and Technology","Many times a day","6-7 hours","Google Meet","","Meetings","","No","Yes","No","No","-2","-1","2","-1","-1","0","0","0","0","0","3","6","3","3","5","4","3","4","4","6","User Interface","Connection is too heavy, lags most of the time.","Connectivity issues","May be","0","1","1","0","0","0","0","2","2","2","4","4","6","4","4","3","5","4","4","7","User interface","Have not used it","Nothing","May be","3","3","3","3","3","3","2","3","-2","-3","7","1","7","1","7","1","7","4","7","2","Simplicity to use","Cannot share video and audio without browser tab","Video with audio sharing system","Yes","Google Meet","Google Meet","Google Meet"
"59","730084300","Male","25-34","Other","Businessman","Bangladesh","Yes","Canadian University of Bangladesh","Many times a week","6-7 hours","Zoom","","Meetings","","Yes","No","No","No","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","Easy and free","low vdo quality","Strong Server","Overall","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","Interface","low quality communication","Sever issue","Overall","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","Easy and free","interface","server","overall","Zoom","Zoom","Zoom"
"61","1688466622","Male","25-34","IT Professional","","Bangladesh","No","","Many times a week","2-3 hours","Skype","","Meetings","","No","No","Yes","No","2","0","0","0","1","1","1","2","-2","-2","7","1","7","7","7","7","4","4","4","4","Prefessional","Nothing","None","Yes","0","1","1","1","-1","0","2","1","-3","-2","4","4","4","4","4","4","4","4","4","4","Stylish","None","None","Yes","3","1","0","3","0","0","2","3","-2","-2","5","1","6","1","7","4","7","7","7","4","Simple","None","None","Yes","Google Meet","Zoom","No preference"
"62","1714114186","Female","25-34","Other","Translator","Bangladesh","No","","Once or twice a month","2-3 hours","Google Meet","","Education","","No","Yes","No","No","2","3","3","1","2","0","3","3","-3","-3","2","1","6","1","6","4","3","5","6","5","Call quality, Notification before call timeout. ","Account setting procedure, 40 minute time for normal users. ","I will increase the session time at least to 1 hour. ","Yes.","2","1","2","-1","1","1","3","2","-3","-3","4","2","6","2","7","2","5","6","6","6","Interface of the application.","It's quite complicated. ","Nothung.","Yes.","2","3","3","3","1","1","0","1","-2","-2","6","1","7","1","7","2","7","2","7","4","Simplicity, No limitation for call time. ","Video quality. ","Video quality, recording system.","Yes. ","Google Meet","Zoom","Zoom"
"63","630986595","Female","25-34","Other","Development Worker","Bangladesh ","Yes","Jahangirnagar University ","Many times a day","2-3 hours","Zoom","","Meetings","","No","Yes","No","No","-1","1","1","-1","1","-1","1","0","-1","1","4","5","3","1","4","4","5","4","4","5","Engage large participants","No auto meeting invitation in google calender","I would add minimization of app while recording","Yes","-1","0","0","-1","1","-1","0","0","0","0","1","2","2","3","3","3","3","4","3","6","I do not use the app","N/a","N/A","N/A","1","1","1","1","0","0","0","1","-1","0","1","1","7","1","3","4","7","1","7","2","Easy Invitation through Google calender ","No record option","Limited time","No","Google Meet","Zoom","Zoom"
"65","1739539544","Male","15-24","Student","","Bangladesh","No","","Many times a day","8-9 hours","Zoom","","Meetups","","Yes","No","No","No","2","3","2","2","2","2","2","2","-3","-2","7","2","5","1","6","2","7","2","5","7","the communication system","nothing","will let you know, soon.","yes","2","2","2","2","2","3","1","2","-2","-1","6","4","5","1","5","4","7","2","4","6","many things","nothing yet","don't think, would want to change it","yeah","0","3","2","3","3","3","0","3","-3","-3","4","5","4","5","7","1","7","1","5","7","meetup became easy","nothing ","will let you know","yesss","Zoom","Zoom","Zoom"
"67","2031929927","Male","25-34","IT Professional","","Japan","Yes","IBI Inc.","Many times a day","4-5 hours","Google Meet","","Meetings","","Yes","No","Yes","No","0","2","2","0","0","3","1","0","0","0","4","2","5","2","6","4","5","5","5","3","I like the User Interface of the system. ","I think the text “External” is a little bit tough for mass population.","I would add white board option in the system.","Mostly enough. For meeting, I would recommend if the presentation method system of screen sharing is similar to google meet.","-1","-1","0","0","-1","0","0","-1","0","-1","3","3","3","2","3","4","4","4","3","3","I liked the team making system most.","I think color combination is not good","I should change color combination and menu icons a little more detailed.","I think the various options is the main key to choose this platform. This is good for it persons but average for general person.","3","2","3","1","1","0","2","1","-2","-2","7","2","6","2","7","2","5","4","6","2","From a single account multiple device can be attached in meeting.","There is no separated dashboard for meet.","Direct Integration to other calendar like Microsoft, Ios calendar etc.","I think a well decorated google dashboard is needed for gcp users. Mostly enough.","Zoom","Google Meet","Google Meet"
"68","1312987809","Female","25-34","Student","","Japan","No","","Many times a day","4-5 hours","Other","Messenger","Meetings","","Yes","No","No","No","3","3","3","3","3","3","3","3","3","3","7","1","7","1","7","2","7","7","7","2","simple and organized","fast internet connection is required for smooth operation. So its a disadvantage for those who do not have fast internet speed.","Provide more online security and protection.","yes","-2","2","1","-3","0","0","0","2","0","0","6","7","1","7","2","6","1","1","1","7","none","complicated","making it user friendly","yes","3","3","3","3","3","3","3","3","3","3","7","1","7","2","7","1","7","7","7","1","well organized","limit of about 100 people that can join the meeting at a time which can be an issue for larger group meetings.","limit of about 100 people that can join the meeting
","yes","Zoom","Zoom","Google Meet"
"69","1207071930","Female","25-34","Student","","Bangladesh ","No","","Once everyday","2-3 hours","Zoom","","Education","","Yes","No","No","No","2","-2","-1","0","0","-1","-1","0","2","1","4","2","5","1","3","2","6","3","5","1","Super fast","This platform can't run more than 100 people ","Change the quantity system ","Yes","-1","3","2","0","2","2","3","3","3","2","7","1","6","7","7","6","6","6","6","6","Light application ","We can't join more then 100 people","Exploring system ","Yes","1","1","2","1","3","0","2","3","-1","0","7","1","7","1","1","1","7","7","7","7","Schedule in a Google calender ","Nothing ","I think this is perfect one ","Yes","Zoom","Zoom","Zoom"
"70","1565969494","Female","25-34","Other","Doctor ","Bangladesh ","No","","Many times a day","4-5 hours","Zoom","","Education","","Yes","No","No","No","2","3","2","2","2","1","1","2","-2","-2","4","3","5","5","5","4","6","4","6","3","Easy","Nothing ","Nothing ","Yes","1","2","0","0","0","1","1","1","0","0","3","5","6","5","4","4","6","4","6","6","Easy
","Nothing ","Nothing ","Yes","2","3","2","2","1","2","2","2","-2","-2","4","4","6","2","6","4","6","4","6","2","Easy ","Nothing ","Nothing ","Yes","Zoom","Zoom","Zoom"
"71","2013957971","Female","25-34","Other","Doctor","Bangladesh","No","","Once or twice a month","2-3 hours","Zoom","","Education","","Yes","No","No","No","2","2","1","1","0","0","0","0","1","-1","1","3","3","4","5","4","5","4","4","5","Audio & video turning off option","Nothing such.","I didn't think about it.","No","1","1","0","0","1","0","0","0","0","0","1","4","5","5","6","2","4","4","2","6","Nothing special.","Nothing such.","Nnever used it so no comment.","Maybe","1","2","2","0","0","0","0","0","0","0","1","4","6","3","3","4","4","4","3","5","Nothing much.","Nothing such.","No preference.","Yeah I guess.","Google Meet","Zoom","Microsoft Teams"
"72","350202881","Female","25-34","Student","","Bangladesh ","Yes","Sher e Bangla Agricultural University","Once or twice a week","2-3 hours","Zoom","","Education","","No","Yes","No","No","3","3","3","3","3","3","3","3","-3","-3","7","1","7","2","6","2","6","2","7","5","easy to use ","nothing ","settings pattern","yes","0","0","0","0","0","0","2","2","0","0","2","5","4","4","4","4","3","4","5","5","attendence report system","team create system","structure  of the apps","yes","3","3","3","3","3","3","3","3","-3","-2","7","1","7","1","7","2","6","1","7","1","reporting facilities ","nothing","no system need to be changed ","yes","Zoom","Zoom","Google Meet"
"73","1660922897","Male","45-54","Teacher","","India","No","","Once everyday","4-5 hours","Google Meet","","Education","","Yes","Yes","No","No","0","0","0","0","0","0","0","0","-1","-1","5","4","5","6","6","6","7","1","3","3","UI","NA","no","yees","0","0","0","0","0","0","0","0","0","0","4","5","5","5","5","6","6","6","6","6","na","na","na","yes","2","2","2","2","2","2","2","2","2","2","6","6","6","6","6","6","5","4","4","2","na","an","nna","na","Zoom","Zoom","Zoom"
"74","1567690212","Female","45-54","IT Professional","","India","Yes","NA","Once everyday","4-5 hours","Microsoft Teams","","Meetings","","Yes","Yes","No","No","1","1","1","1","1","1","1","1","1","1","5","5","5","5","5","4","3","6","4","5","nothig","nothig","nothig","nothig","0","0","1","0","0","0","1","1","1","1","4","3","4","4","4","7","7","7","2","4","ui","no","nothing","yes","0","-1","-1","3","-2","2","-2","-2","1","-2","3","3","3","3","3","3","3","4","5","6","UI","heavy","fast","no","Google Meet","Google Meet","Google Meet"
"75","820591247","Male","35-44","IT Professional","","India","No","","Once everyday","4-5 hours","Microsoft Teams","","Meetings","","Yes","Yes","No","No","1","-1","1","0","1","0","1","1","0","1","5","4","5","4","4","4","5","4","5","5","fast","heavy","no","yes","-1","0","-1","1","1","2","1","0","2","0","4","5","3","6","2","7","3","6","4","5","Its UI","it is slow","make it dast","yes","-2","-1","0","0","2","2","-1","1","-2","2","5","5","4","2","4","4","5","6","7","5","easy to use","slow","no","yes","Zoom","Zoom","Google Meet"
"76","906658682","Female","25-34","IT Professional","","India","Yes","na","Once everyday","4-5 hours","Microsoft Teams","","Meetings","","Yes","Yes","No","No","-2","-1","-2","0","-2","1","0","1","2","2","5","6","7","4","3","5","2","3","4","5","na","na","na","na","-1","0","1","1","-1","-1","1","-1","1","1","5","5","3","5","6","4","4","7","7","7","no","no","nono","no","1","0","1","0","0","1","0","0","0","1","4","4","4","4","5","5","6","6","6","6","no","no","no","no","Microsoft Teams","Microsoft Teams","Microsoft Teams"
